单词,视觉,明亮度,黑暗度,颜色,图案,大,小,快,慢,复杂度,脸,身体,触摸,热,冷,轻,重,疼痛,响亮,声音,音乐,味觉,嗅觉,头,上肢,下肢,实践,地标,路径,场景,近距离,朝向,远离,数字,持续时间,长,短,造成,后果性,人类,沟通,自我,认知,益处,快乐,悲伤,生气,厌恶,害怕,惊讶,驱动力,需要,注意力,唤醒
包含,3.6,1.566666667,2,1.766666667,1.733333333,2.833333333,2.8,1.7,3.066666667,0,1.266666667,1.366666667,1.3,1.4,1.333333333,2.366666667,1.566666667,1.166666667,1.3,1.1,1.066666667,1.1,1.333333333,1.066666667,1.1,1.066666667,2.166666667,1.4,1.266666667,1.5,2.633333333,1.866666667,1.3,1.2,1.033333333,2.233333333,3.833333333,2.633333333,3,2.933333333,1.8,2.333333333,1.833333333,2.666666667,2.133333333,1.466666667,1.433333333,1.266666667,1.166666667,1.466666667,1.633333333,2.3,1.766666667,1.566666667
堡垒,6.366666667,2.666666667,3.733333333,3.733333333,3.566666667,4.766666667,1.933333333,1.133333333,6.733333333,5.166666667,1.366666667,1.366666667,2.566666667,1.6,2.866666667,1.3,6.233333333,1.666666667,2.666666667,2.133333333,1.566666667,1.366666667,1.433333333,1.1,1.766666667,1.533333333,1.566666667,5.433333333,1.133333333,4.333333333,1.5,1.266666667,1.4,1.3,1.2,4.8,1.7,4.166666667,3.266666667,3.8,1.966666667,1.233333333,1.533333333,3.1,2.233333333,1.633333333,1.366666667,1.4,1.7,1.766666667,1.366666667,1.566666667,2.966666667,2.033333333
抱,6.266666667,2.033333333,1.733333333,1.9,2.366666667,2.433333333,3.366666667,2.733333333,3.133333333,0,2.5,5.433333333,6,3.466666667,1.466666667,2.733333333,3.2,1.533333333,1.733333333,1.933333333,1.266666667,1.066666667,1.766666667,1.633333333,5.633333333,2,4.533333333,2.233333333,1.933333333,1.833333333,6.166666667,6.066666667,1.333333333,2.133333333,2.3,1.766666667,6,3.4,2.833333333,3.833333333,3.966666667,4.5,1.833333333,3.9,5.133333333,1.233333333,1.233333333,1.233333333,1.2,1.866666667,2.666666667,3.466666667,3.6,3.2
爆炸,6.1,6.1,2.333333333,5.2,5.533333333,6.266666667,1.7,6.166666667,1.5,0,1.7,2.4,1.766666667,6.733333333,1.033333333,1.6,3.2,5.6,6.333333333,6.433333333,2.033333333,1.233333333,4.066666667,1.3,1.5,1.166666667,1.466666667,1.733333333,2.033333333,3.1,2.3,1.9,3,1.133333333,2.6,1.266666667,6.666666667,6.6,6.366666667,3.8,1.466666667,1.266666667,1.466666667,1.233333333,1.233333333,3.333333333,3.033333333,3.533333333,5.966666667,5.1,2.033333333,1.166666667,6.733333333,5.033333333
背,6.3,2.466666667,2.433333333,3.466666667,2.866666667,2.033333333,4,1.4,5.233333333,1.966666667,1.133333333,3.966666667,3.7,3.266666667,1.566666667,2.4,2,1.466666667,1.2,1.533333333,1.1,1.2,1.233333333,1.366666667,1.7,1.7,3.966666667,1.233333333,1.166666667,2.033333333,4.933333333,2.166666667,1.366666667,1.866666667,1.1,3.233333333,3.133333333,2.166666667,2.033333333,2.133333333,1.533333333,2.566666667,1.333333333,2.1,1.8,1.433333333,1.233333333,1.266666667,1.2,1.233333333,1.2,3.7,1.7,1.266666667
被捕,5.733333333,1.3,3.3,1.833333333,2.1,3.166666667,2.7,2.566666667,2.533333333,0,2.3,4.5,2.866666667,1.566666667,1.933333333,1.566666667,2.566666667,3.433333333,2.833333333,2.633333333,1.033333333,1,1.1,1.3,2.5,2.566666667,1.633333333,2.2,3.4,3.166666667,4.166666667,3.133333333,1.7,1.666666667,1.533333333,1.966666667,5.4,5.3,5.366666667,4.833333333,2.766666667,1.433333333,1.733333333,1.466666667,1.133333333,4,2.7,3,3.866666667,4.166666667,1.966666667,1.133333333,4.166666667,4.133333333
被告人,5.2,2.433333333,2.866666667,2.3,2.033333333,2.733333333,2.9,2.633333333,4,3.666666667,6.766666667,6.733333333,1.633333333,3.633333333,1.5,2.033333333,3.633333333,1.8,3.066666667,2.866666667,2.1,1.166666667,1.233333333,2.266666667,1.566666667,2.033333333,1.533333333,1.566666667,1.633333333,4.366666667,1.766666667,1.633333333,2.1,2.233333333,1.466666667,2.166666667,3.233333333,6.1,4.566666667,5.5,3.7,3.5,3.233333333,1.7,1.3,3.3,3.566666667,3.033333333,2.466666667,2.666666667,1.733333333,1.333333333,3.066666667,2.8
奔放,3.6,2.4,1.933333333,2.666666667,2.066666667,2.766666667,2.166666667,2.7,1.9,0,2.5,2.533333333,1.5,2.466666667,1.266666667,1.566666667,1.766666667,1.3,2.633333333,3.133333333,3.933333333,1.433333333,1.533333333,2.666666667,1.833333333,2.566666667,0,1.233333333,1.2,1.866666667,1.2,1.966666667,1.333333333,1.066666667,1.2,1.5,3.566666667,0,3.866666667,3.9,4.633333333,4.466666667,3.766666667,3.433333333,4.766666667,1.133333333,1.466666667,1.433333333,1.366666667,2.166666667,2.966666667,2.266666667,4.366666667,3.866666667
比例,3.4,1.933333333,2.133333333,1.766666667,1.433333333,1.4,3.366666667,1.333333333,4.533333333,1.666666667,1.1,1.033333333,1.3,1.066666667,1.266666667,1.9,1.2,1.1,1.2,1.033333333,1,1,1,1.1,1.166666667,1.166666667,2.433333333,1.2,1.233333333,1.433333333,2.033333333,1.166666667,1.233333333,2.3,1,2.3,3.366666667,3.166666667,2.833333333,2.4,1.6,1.6,1.566666667,1.966666667,1.733333333,1.366666667,1.4,1.233333333,1.2,1.6,1.466666667,1.733333333,1.5,1.366666667
必要,2.5,1.933333333,2.033333333,1.8,1.533333333,2.133333333,2.433333333,1.566666667,2.766666667,0,1.266666667,1.266666667,1.1,1.2,1.3,1.533333333,1.566666667,1.233333333,1.2,1.466666667,1.166666667,1.066666667,1.166666667,1.266666667,1.4,1.2,0,1.033333333,1.2,1.233333333,1.533333333,1.833333333,1.066666667,1.1,1.166666667,1.8,2.933333333,0,3.9,3.833333333,2.4,2.3,1.966666667,4.266666667,2.6,1.3,1.4,1.4,1.133333333,1.433333333,5.533333333,6.933333333,3.6,1.766666667
避免,3.733333333,1.566666667,2.333333333,1.566666667,1.633333333,2.1,3.033333333,1.733333333,2.933333333,0,1.333333333,1.733333333,1.233333333,1.3,1.566666667,1.566666667,1.466666667,1.333333333,1.2,1.266666667,1.033333333,1.033333333,1.166666667,1.133333333,1.266666667,1.266666667,2.633333333,2.033333333,1.466666667,1.4,2.2,1.366666667,1.833333333,1.066666667,1.1,1.933333333,4.333333333,3.833333333,3.766666667,4.466666667,2.1,3.2,2.766666667,3.133333333,2.366666667,1.833333333,1.5,1.6,1.333333333,1.566666667,3.266666667,2.7,2.333333333,2.033333333
鞭子,6.833333333,2.466666667,3.166666667,4.166666667,3.7,1.866666667,4.833333333,2.466666667,4.6,2.333333333,1.033333333,1.133333333,5.433333333,1.9,2.633333333,4.533333333,1.966666667,4.6,3.1,4.2,2.033333333,1.4,1.633333333,1.366666667,5.066666667,1.4,2.533333333,1.3,2.133333333,2.5,2.233333333,2.933333333,3.266666667,2.033333333,1.133333333,2.7,3.833333333,3.3,3.2,3.333333333,1.666666667,1.166666667,1.233333333,1.733333333,1.2,3.3,2.833333333,2.966666667,3.5,2.4,2.433333333,1.333333333,2.633333333,2.2
便利,3.366666667,1.833333333,1.833333333,1.966666667,1.8,2.266666667,2.9,2.433333333,2.3,0,1.333333333,1.166666667,1.366666667,1.266666667,1.433333333,3.266666667,1.233333333,1.166666667,1.266666667,1.366666667,1.066666667,1.1,1.1,1.2,1.166666667,1.333333333,0,1.933333333,1.933333333,3.066666667,2.8,1.833333333,1.333333333,1.066666667,1.466666667,1.733333333,3.733333333,0,4.066666667,3.966666667,2.033333333,1.8,1.666666667,5.666666667,4.2,1.2,1.166666667,1.2,1.066666667,1.4,3.033333333,4.133333333,2.933333333,2.166666667
便宜,3.266666667,1.633333333,2.233333333,1.666666667,1.633333333,1.9,3.266666667,1.566666667,2.566666667,0,1.233333333,1.466666667,1.133333333,1.2,1.433333333,2.333333333,1.266666667,1.233333333,1.1,1.466666667,1.266666667,1.4,1.266666667,1,1.033333333,1,0,1.066666667,1,1.166666667,1.4,1.233333333,1.033333333,1.533333333,1,1.433333333,3.933333333,0,3.933333333,3.333333333,1.566666667,1.533333333,1.7,4.166666667,3.833333333,1.433333333,1.166666667,1.466666667,1.166666667,1.866666667,3.666666667,3.166666667,3.966666667,2.433333333
标注,6,1.966666667,1.866666667,2.533333333,2.766666667,2.066666667,4.5,1.833333333,3.233333333,0,1.266666667,2.2,1.833333333,1.2,1.2,3.266666667,1.366666667,1.1,1.3,1.2,1.033333333,1.033333333,1.1,1.166666667,3.533333333,1.1,3,2.6,1.2,1.933333333,3.666666667,2.366666667,1.5,1.2,1.633333333,1.9,5.066666667,4,3.633333333,5.7,4.566666667,3.566666667,3.766666667,3.766666667,2.433333333,1.333333333,1.433333333,1.333333333,1.133333333,1.433333333,3,2.2,3.066666667,1.666666667
标准,3.033333333,2.5,2.166666667,1.966666667,1.6,1.633333333,3.133333333,1.233333333,4.7,2.066666667,1.133333333,1.166666667,1.066666667,1.133333333,1.466666667,1.8,1.233333333,1.2,1.066666667,1.1,1,1.033333333,1.033333333,1.4,1.233333333,1.133333333,2.9,1.033333333,1.133333333,1.533333333,2.4,1.266666667,1.3,1.733333333,1.566666667,3.2,2.766666667,4.533333333,4.1,4.5,2.933333333,2.1,3.4,3.633333333,2.166666667,1.5,1.666666667,1.4,1.266666667,1.7,3.2,3.133333333,2.366666667,1.933333333
表面,3.866666667,2.933333333,2.166666667,2.366666667,2.4,2.533333333,3.233333333,1.2,5.1,2.233333333,1.333333333,1.233333333,2.133333333,1.366666667,2.2,1.7,1.3,1.233333333,1.3,1.066666667,1,1.166666667,1.133333333,1.5,1.233333333,1.133333333,2.933333333,1.3,1.133333333,1.533333333,3.033333333,1.533333333,1.366666667,1.1,1.033333333,2.666666667,3.133333333,2.3,2,1.966666667,1.466666667,2.066666667,1.633333333,1.6,1.833333333,1.366666667,1.466666667,1.4,1.3,1.4,1.233333333,1.7,1.733333333,1.266666667
别墅,6.666666667,3.8,2.233333333,3,2.966666667,4.8,1.933333333,1.133333333,6.833333333,5.433333333,1.6,1.433333333,2.166666667,1.4,2.533333333,1.2,6.1,1.233333333,1.733333333,1.533333333,1.566666667,1.333333333,1.4,1.1,1.4,1.333333333,2.3,5.266666667,1.033333333,3.766666667,2.1,1.3,1.3,1.466666667,1.2,4.566666667,1.966666667,3.3,2.4,3.333333333,1.966666667,2.033333333,1.466666667,3.533333333,4.166666667,1.166666667,1.3,1.266666667,1.233333333,1.733333333,1.766666667,1.566666667,3.8,2.666666667
病人,5.933333333,2.633333333,2.933333333,3.333333333,2.733333333,2.866666667,2.9,2.033333333,4.533333333,3.7,7,7,1.9,3.6,1.766666667,2.066666667,3.533333333,3.633333333,2.8,3.233333333,2.166666667,1.766666667,2.066666667,1.866666667,2.033333333,1.966666667,2,1.633333333,1.733333333,4.133333333,2.2,1.733333333,1.766666667,1.566666667,1.633333333,2.866666667,3,5.466666667,4.033333333,3.933333333,2.866666667,3.533333333,2.666666667,1.333333333,1.066666667,5.366666667,2.3,2.233333333,2.633333333,2.133333333,2.166666667,1.233333333,3.5,2.566666667
拨款,4.466666667,1.933333333,1.9,1.8,1.666666667,3.3,2.933333333,1.966666667,2.9,0,1.2,2,1.466666667,1.4,1.366666667,2.166666667,1.766666667,1.2,1.366666667,1.233333333,1.033333333,1.033333333,1.1,1.233333333,2,1.233333333,1.733333333,2,2.166666667,3.066666667,2.7,1.933333333,4,1.7,1.833333333,2.033333333,4.433333333,4.7,5,6.033333333,3.033333333,2.433333333,2.833333333,4.9,3.966666667,1.3,1.3,1.2,1.166666667,1.733333333,3.766666667,2,3.333333333,2.466666667
波浪,6.2,4.466666667,1.7,4.966666667,5.033333333,3.2,2.166666667,3.866666667,3.433333333,2.133333333,1.1,1.133333333,2.666666667,1.4,3.7,2.033333333,3.133333333,1.566666667,3.066666667,4.1,2.733333333,1.733333333,1.8,1.033333333,1.266666667,1.266666667,2.2,1.533333333,2.733333333,3.833333333,2,2.1,2.4,1.2,1.6,1.6,4.966666667,3.033333333,2.733333333,1.633333333,1.366666667,1.233333333,1.333333333,1.766666667,2.433333333,1.366666667,1.233333333,1.433333333,1.666666667,1.8,1.433333333,1.566666667,3,2.166666667
玻璃,6.833333333,5.766666667,1.333333333,5.433333333,3.766666667,2.8,3.466666667,1.233333333,6.533333333,1.733333333,1.333333333,1.166666667,5.1,1.233333333,4.4,3.166666667,2.9,2.666666667,2.466666667,2.966666667,2.266666667,1.233333333,1.2,1.266666667,1.666666667,1.2,5.066666667,1.566666667,1.166666667,2.866666667,3.866666667,2.266666667,1.7,1.266666667,1.166666667,3.5,2.966666667,3.166666667,2.766666667,2.366666667,1.466666667,1.166666667,1.166666667,2.833333333,2,1.333333333,1.266666667,1.233333333,1.8,1.266666667,1.166666667,2.9,1.733333333,1.366666667
博学,3.2,2.766666667,1.533333333,1.733333333,1.766666667,3.933333333,1.933333333,1.6,3.233333333,0,2.2,2.166666667,1.1,1.366666667,1.166666667,1.466666667,1.8,1.1,1.366666667,2.366666667,1.333333333,1,1.033333333,1.9,1.066666667,1,0,1.033333333,1,1.133333333,1.2,1.166666667,1.033333333,1.4,2.266666667,3,2.066666667,0,4.133333333,5.5,4.866666667,4.8,4.266666667,5.466666667,4.366666667,1.233333333,1.1,1.333333333,1.066666667,2.266666667,2.866666667,3.8,4.466666667,1.966666667
簸箕,6.5,2.333333333,2.7,3.933333333,4,1.833333333,4.566666667,1.433333333,5.733333333,2.533333333,1.266666667,1.2,4.966666667,1.466666667,2.5,4.1,1.866666667,1.333333333,2.1,2.4,1.533333333,1.266666667,1.633333333,1.2,3.6,1.4,4.066666667,1.4,1.4,3.233333333,3,2.9,2.566666667,1.566666667,1.133333333,2.6,3.366666667,4.166666667,2.366666667,2.8,1.366666667,1.2,1.366666667,2.766666667,1.666666667,1.333333333,1.3,1.466666667,1.066666667,1.133333333,1.233333333,2.466666667,1.7,1.2
捕食,6.233333333,1.633333333,2.566666667,2.5,2.666666667,2.766666667,3.966666667,3.9,2.7,0,2.466666667,4.633333333,3.1,2.166666667,1.933333333,3,2.6,2.2,2.966666667,2.4,1.266666667,3.9,3.8,3,3.566666667,3.7,2.233333333,3.7,3.733333333,3.266666667,4.9,4.9,1.466666667,1.4,1.966666667,2.133333333,5.033333333,5.066666667,4.133333333,3.566666667,1.9,2.033333333,2.133333333,2.566666667,2.1,1.633333333,1.7,1.8,2.166666667,1.666666667,3.5,1.866666667,3.166666667,2.566666667
捕鱼,6.666666667,1.833333333,2.266666667,2.266666667,2.233333333,3.466666667,4.166666667,3.3,3.333333333,0,1.533333333,5.866666667,3.166666667,1.633333333,3.266666667,3.466666667,2.4,1.566666667,2.4,2.5,1.266666667,2.7,3.366666667,1.4,4.9,3.133333333,3.033333333,4,3.6,5.366666667,4.6,4.433333333,1.8,1.666666667,2.466666667,2.4,4.733333333,4.633333333,3.866666667,4.433333333,1.533333333,2.166666667,2,3.066666667,2.833333333,1.366666667,1.333333333,1.333333333,1.333333333,1.533333333,3.366666667,1.666666667,3.033333333,2
财富,4.1,3.833333333,1.666666667,3.2,1.9,2.6,2.366666667,1.5,4.433333333,2.533333333,1.266666667,1.4,1.6,1.2,1.733333333,1.566666667,1.8,1.233333333,1.4,1.233333333,1.066666667,1.066666667,1.1,1.366666667,1.733333333,1.266666667,3.5,1.2,1.5,1.866666667,2.6,2.133333333,1.9,1.166666667,1.333333333,3.333333333,2.466666667,4.266666667,4.766666667,4.833333333,2.8,3.6,2.4,5.566666667,5.733333333,1.333333333,1.366666667,1.166666667,1.2,2.2,4.433333333,4.7,4.5,4.766666667
菜肴,6.533333333,4.033333333,1.833333333,3.1,2.733333333,2.033333333,4.7,1.233333333,6.133333333,4.133333333,1.2,1.2,3.233333333,4.1,1.433333333,3.766666667,1.966666667,1.333333333,1.3,1.366666667,1.066666667,5.333333333,5.566666667,5.633333333,3.9,1.166666667,6.166666667,1.366666667,1.4,4.433333333,4.9,6.166666667,2,1.366666667,1.633333333,1.933333333,3.7,4.066666667,3.7,2.733333333,2.166666667,1.8,1.766666667,4.433333333,4.6,1.233333333,1.433333333,1.366666667,1.2,1.833333333,2.533333333,5.233333333,3.566666667,3.1
参加,5.1,1.9,1.933333333,1.7,1.666666667,2.6,2.766666667,1.766666667,2.766666667,0,1.533333333,2.966666667,1.733333333,1.633333333,1.333333333,1.566666667,1.933333333,1.166666667,2.066666667,1.666666667,1.333333333,1.266666667,1.366666667,1.4,1.766666667,2.6,3.733333333,2.966666667,2.8,2.233333333,3.2,2.933333333,1.566666667,1.166666667,2,2.366666667,4.566666667,3.366666667,3.6,5.166666667,3.8,4.333333333,2.666666667,3.266666667,3.166666667,1.4,1.4,1.4,1.3,1.433333333,3.633333333,3.266666667,2.266666667,2.233333333
参谋,3.633333333,2.333333333,2.133333333,1.866666667,1.633333333,2.1,3.266666667,2,4.133333333,2.766666667,4.1,3.566666667,1.2,2.533333333,1.4,1.966666667,2.433333333,1.166666667,2.533333333,2.366666667,1.8,1.2,1.133333333,2.233333333,1.5,1.533333333,1.966666667,1.1,1.4,2.433333333,1.666666667,1.566666667,1.633333333,1.466666667,1.166666667,2.6,3.166666667,4.333333333,4.466666667,5.733333333,4.766666667,3.066666667,5.433333333,4.066666667,2.366666667,1.333333333,1.4,1.433333333,1.266666667,1.733333333,3,2.233333333,2.4,1.8
蚕丝,6.366666667,4.866666667,1.666666667,6.033333333,4.533333333,1.533333333,5.866666667,1.233333333,6.166666667,2.2,1.066666667,1.166666667,4.133333333,1.533333333,3.266666667,6.233333333,1.266666667,1.3,1.333333333,1.433333333,1.166666667,1.733333333,1.866666667,1.266666667,1.666666667,1.1,2.533333333,1.466666667,1.466666667,2.7,2.166666667,1.966666667,1.7,1.1,1.3,2.533333333,2.966666667,3.966666667,2.533333333,2.066666667,1.433333333,1.2,1.233333333,3.1,2.3,1.333333333,1.266666667,1.3,1.3,1.3,1.266666667,1.8,2.233333333,1.6
惭愧,3.133333333,1.433333333,2.833333333,1.866666667,1.8,1.7,2.7,1.333333333,3.233333333,0,2.666666667,2,1.133333333,1.233333333,1.666666667,1.4,1.466666667,2.1,1.4,3.233333333,1.366666667,1,1,4.166666667,1.2,1.133333333,0,1,1,1.333333333,1.133333333,1.2,1.133333333,1.033333333,1.066666667,1.333333333,4.6,0,3.933333333,4.766666667,3.333333333,2.8,4.933333333,2.1,1.266666667,4,2.266666667,2.6,2,1.7,3.6,1.966666667,2.833333333,3.1
仓库,6.233333333,2.366666667,3.433333333,3.6,2.466666667,4.633333333,2.066666667,1.133333333,6.766666667,4.466666667,1.433333333,1.1,1.866666667,1.433333333,2.566666667,1.266666667,5.733333333,1.233333333,2.4,1.833333333,1.233333333,1.766666667,1.9,1.1,1.666666667,2.066666667,3.066666667,5.666666667,1.3,4,2.166666667,1.4,1.4,1.433333333,1.133333333,4.266666667,2.433333333,3.966666667,2.4,3.433333333,1.766666667,1.2,1.4,2.9,1.833333333,1.3,1.3,1.333333333,1.433333333,1.266666667,1.266666667,2.066666667,1.766666667,1.3
草,6.866666667,3.833333333,2.133333333,6.8,4.366666667,1.633333333,5.8,1.433333333,6.133333333,2.133333333,1.1,1.166666667,5.066666667,1.5,2.566666667,6.033333333,1.4,1.366666667,1.5,1.633333333,1.366666667,3.8,4.233333333,1.5,1.6,1.333333333,3.366666667,2.3,1.3,2.833333333,3.5,1.833333333,1.933333333,1,1.566666667,2.433333333,3.1,1.666666667,1.866666667,1.366666667,1.166666667,1.1,1.066666667,1.866666667,2.266666667,1.3,1.333333333,1.3,1.1,1.233333333,1.233333333,2.266666667,1.466666667,1.166666667
测量,6.033333333,1.6,1.933333333,1.666666667,1.8,2.633333333,3.566666667,2.1,3.233333333,0,1.333333333,4.033333333,3.233333333,1.266666667,1.466666667,3,1.866666667,1.266666667,1.433333333,1.333333333,1.066666667,1.033333333,1.233333333,1.066666667,3.533333333,2.1,3.733333333,3.233333333,2.133333333,2.9,4.633333333,3.6,1.266666667,1.733333333,2.066666667,2.133333333,4.9,2.733333333,3.133333333,5.233333333,2.8,3.266666667,2.433333333,2.666666667,2.033333333,1.3,1.266666667,1.266666667,1.1,1.3,2.766666667,2.266666667,2.166666667,1.333333333
产业,3.566666667,2.4,2.366666667,2.033333333,1.6,3.6,1.866666667,1.233333333,5.433333333,3.766666667,1.366666667,1.4,1.1,1.2,1.6,1.3,2.4,1.233333333,1.733333333,1.266666667,1.2,1.166666667,1.2,1.266666667,1.7,1.5,2.666666667,1.9,1.466666667,2.066666667,2.033333333,1.233333333,1.4,1.166666667,1.633333333,4.2,1.933333333,3.7,3.666666667,4.633333333,2.633333333,2,2.2,3.566666667,2.466666667,1.266666667,1.333333333,1.266666667,1.3,1.733333333,2.466666667,2.633333333,2.1,1.8
巢穴,6.4,2.166666667,4.433333333,3.866666667,3.4,3,3.8,1.233333333,6.366666667,3.8,1.233333333,1.233333333,2.6,1.9,2.3,2.333333333,2.833333333,1.566666667,2.133333333,1.533333333,1.4,1.766666667,1.833333333,1.266666667,1.366666667,1.4,1.866666667,3.433333333,1.166666667,3.7,1.933333333,1.3,1.4,1.533333333,1.233333333,3,2.6,3.666666667,2.866666667,2.466666667,1.566666667,1.3,1.3,2.133333333,1.733333333,1.4,1.566666667,1.866666667,1.5,1.566666667,1.233333333,1.5,2.033333333,1.533333333
